playlist_id,playlist_name,track_id,track_name,artist,album,release_date,popularity,duration_ms,explicit,track_url
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,Ordinary,2025-02-07,92,186964,False,https://open.spotify.com/track/6qqrTXSdwiJaq8SO0X2lSe
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,4WFgvKVfEhb3IUAFGrutTR,Love Me Not,Ravyn Lenae,Bird's Eye,2024-08-09,90,213466,False,https://open.spotify.com/track/4WFgvKVfEhb3IUAFGrutTR
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,05od2qm2MTSKCHxy1GBp5W,12 to 12,sombr,I Barely Know Her,2025-08-22,88,242903,False,https://open.spotify.com/track/05od2qm2MTSKCHxy1GBp5W
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,1CPZ5BxNNd0n0nF4Orb9JS,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,100,194607,False,https://open.spotify.com/track/1CPZ5BxNNd0n0nF4Orb9JS
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),2025-05-30,91,142550,False,https://open.spotify.com/track/2yWlGEgEfPot0lv3OAjuG3
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,7uivYk4Bf2j1wtHHLtB0Qr,Walk Down (feat. 21 Savage),"Young Thug, 21 Savage",UY SCUTI,2025-09-26,63,160533,True,https://open.spotify.com/track/7uivYk4Bf2j1wtHHLtB0Qr
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,3cZajhyr8LmtPfHZ9296tj,No Broke Boys,"Disco Lines, Tinashe",No Broke Boys,2025-06-06,93,163994,True,https://open.spotify.com/track/3cZajhyr8LmtPfHZ9296tj
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,42VUCXerQ5qTr4Qp6PhKo4,Tears,Sabrina Carpenter,Man’s Best Friend,2025-08-29,94,160183,False,https://open.spotify.com/track/42VUCXerQ5qTr4Qp6PhKo4
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,5q9I5RmmrLC4U2mW2BnF3K,Safe (feat. Kehlani),"Cardi B, Kehlani",AM I THE DRAMA?,2025-09-19,75,177886,True,https://open.spotify.com/track/5q9I5RmmrLC4U2mW2BnF3K
5iwkYfnHAGMEFLiHFFGnP4,HITS 2025 - Today's Top Songs,7qjZnBKE73H4Oxkopwulqe,back to friends,sombr,I Barely Know Her,2025-08-22,91,199032,False,https://open.spotify.com/track/7qjZnBKE73H4Oxkopwulqe
