track_id,track_name,artist,main_artist,album,release_date,popularity,duration_sec,explicit,playlist_name,album_type,track_number,total_artists,external_url,preview_url,playlist_id,duration_ms,disc_number,markets_available,artist_id,album_id,total_tracks_in_album,album_release_precision
6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,Alex Warren,Ordinary,2025-02-07,92,186.96,False,HITS 2025 - Today's Top Songs,single,1,1,https://open.spotify.com/track/6qqrTXSdwiJaq8SO0X2lSe,,5iwkYfnHAGMEFLiHFFGnP4,186964,1,183,0fTSzq9jAh4c36UVb4V7CB,6xomx5ekO7qHDvDh57rZ5S,1,day
4WFgvKVfEhb3IUAFGrutTR,Love Me Not,Ravyn Lenae,Ravyn Lenae,Bird's Eye,2024-08-09,90,213.47,False,HITS 2025 - Today's Top Songs,album,7,1,https://open.spotify.com/track/4WFgvKVfEhb3IUAFGrutTR,,5iwkYfnHAGMEFLiHFFGnP4,213466,1,184,5RTLRtXjbXI2lSXc6jxlAz,1uE3dRPe3SrGdNhd1nWlSa,11,day
05od2qm2MTSKCHxy1GBp5W,12 to 12,sombr,sombr,I Barely Know Her,2025-08-22,88,242.9,False,HITS 2025 - Today's Top Songs,album,2,1,https://open.spotify.com/track/05od2qm2MTSKCHxy1GBp5W,,5iwkYfnHAGMEFLiHFFGnP4,242903,1,184,4G9NDjRyZFDlJKMRL8hx3S,7mvXPtV4jvA1hp5Wx2FAJA,10,day
1CPZ5BxNNd0n0nF4Orb9JS,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",HUNTR/X,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,100,194.61,False,HITS 2025 - Today's Top Songs,album,4,5,https://open.spotify.com/track/1CPZ5BxNNd0n0nF4Orb9JS,,5iwkYfnHAGMEFLiHFFGnP4,194607,1,183,2yNNYQBChuox9A5Ka93BIn,14JkAa6IiFaOh5s0nMyMU9,12,day
2yWlGEgEfPot0lv3OAjuG3,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",Tate McRae,Just Keep Watching (From F1® The Movie),2025-05-30,91,142.55,False,HITS 2025 - Today's Top Songs,single,1,2,https://open.spotify.com/track/2yWlGEgEfPot0lv3OAjuG3,,5iwkYfnHAGMEFLiHFFGnP4,142550,1,184,45dkTj5sMRSjrmBSBeiHym,5aWEjuULckx3nnpAM9w6gY,1,day
7uivYk4Bf2j1wtHHLtB0Qr,Walk Down (feat. 21 Savage),"Young Thug, 21 Savage",Young Thug,UY SCUTI,2025-09-26,63,160.53,True,HITS 2025 - Today's Top Songs,album,15,2,https://open.spotify.com/track/7uivYk4Bf2j1wtHHLtB0Qr,,5iwkYfnHAGMEFLiHFFGnP4,160533,1,184,50co4Is1HCEo8bhOyUWKpn,1PokOUCgfAho8snnJLTkMD,20,day
3cZajhyr8LmtPfHZ9296tj,No Broke Boys,"Disco Lines, Tinashe",Disco Lines,No Broke Boys,2025-06-06,93,163.99,True,HITS 2025 - Today's Top Songs,single,1,2,https://open.spotify.com/track/3cZajhyr8LmtPfHZ9296tj,,5iwkYfnHAGMEFLiHFFGnP4,163994,1,184,5Kmr0b3ip8g9P2i0dLTC3Z,520FALYwo6yPbp5kBchA8N,1,day
42VUCXerQ5qTr4Qp6PhKo4,Tears,Sabrina Carpenter,Sabrina Carpenter,Man’s Best Friend,2025-08-29,94,160.18,False,HITS 2025 - Today's Top Songs,album,2,1,https://open.spotify.com/track/42VUCXerQ5qTr4Qp6PhKo4,,5iwkYfnHAGMEFLiHFFGnP4,160183,1,183,74KM79TiuVKeVCqs8QtB0B,1aqg30bNvLSWgShZgX4oop,12,day
5q9I5RmmrLC4U2mW2BnF3K,Safe (feat. Kehlani),"Cardi B, Kehlani",Cardi B,AM I THE DRAMA?,2025-09-19,75,177.89,True,HITS 2025 - Today's Top Songs,album,8,2,https://open.spotify.com/track/5q9I5RmmrLC4U2mW2BnF3K,,5iwkYfnHAGMEFLiHFFGnP4,177886,1,184,4kYSro6naA4h99UJvo89HB,1LsNb6mVitbLZCxnRsbCDJ,23,day
7qjZnBKE73H4Oxkopwulqe,back to friends,sombr,sombr,I Barely Know Her,2025-08-22,91,199.03,False,HITS 2025 - Today's Top Songs,album,4,1,https://open.spotify.com/track/7qjZnBKE73H4Oxkopwulqe,,5iwkYfnHAGMEFLiHFFGnP4,199032,1,184,4G9NDjRyZFDlJKMRL8hx3S,7mvXPtV4jvA1hp5Wx2FAJA,10,day
